,COUNTY,AWAITING_TESTING,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME,INCONCLUSIVE,DATE,DAY_OF_WEEK,NEW_NEGATIVES,NEW_CASES
3171,Walton,1.0,296,29.0,9.0,327.0,html version of FL COVID Rep 04-12-2020(PM),1.0,2020-04-12,6,8.0,-1.0
5457,Wakulla,0.0,361,23.0,6.0,384.0,html version of FL COVID Rep 05-02-2020,0.0,2020-05-02,5,31.0,-1.0
2732,Volusia,6.0,1827,178.0,9.0,2012.0,html version of FL COVID Rep 04-09-2020(PM),1.0,2020-04-09,3,27.0,-1.0
5061,Unknown,1.0,41,0.0,0.0,42.0,html version of FL COVID Rep 04-26-2020,0.0,2020-04-26,6,0.0,-1.0
4020,Unknown,9.0,36,3.0,8.0,48.0,html version of FL COVID Rep 04-18-2020(PM),0.0,2020-04-18,5,2.0,-1.0
3882,Unknown,12.0,34,3.0,8.0,49.0,html version of FL COVID Rep 04-17-2020(PM),0.0,2020-04-17,4,1.0,-1.0
507,Unknown,2.0,5,0.0,0.0,7.0,html version of FL COVID Rep 03-23-2020(PM),0.0,2020-03-23,0,0.0,-1.0
8365,Union,0.0,1975,38.0,2.0,2013.0,html version of FL COVID Rep 06-14-2020,0.0,2020-06-14,6,16.0,-1.0
5437,Santa Rosa,1.0,2644,157.0,6.0,2803.0,html version of FL COVID Rep 05-02-2020,1.0,2020-05-02,5,67.0,-1.0
4367,Union,1.0,165,2.0,1.0,168.0,html version of FL COVID Rep 04-20-2020,0.0,2020-04-20,0,6.0,-1.0
7100,Suwannee,0.0,2058,165.0,7.0,2230.0,html version of FL COVID Rep 05-26-2020,7.0,2020-05-26,1,27.0,-1.0
2339,Suwannee,1.0,155,31.0,17.0,187.0,html version of FL COVID Rep 04-06-2020(PM),0.0,2020-04-06,0,3.0,-1.0
7160,Sumter,23.0,3701,253.0,6.0,3998.0,html version of FL COVID Rep 05-27-2020,21.0,2020-05-27,2,33.0,-1.0
5227,Sumter,25.0,1620,176.0,10.0,1821.0,html version of FL COVID Rep 04-29-2020,0.0,2020-04-29,2,17.0,-1.0
6670,St. Lucie,54.0,6957,336.0,5.0,7354.0,html version of FL COVID Rep 05-20-2020,7.0,2020-05-20,2,468.0,-1.0
5636,St. Lucie,51.0,3556,259.0,7.0,3869.0,html version of FL COVID Rep 05-05-2020,3.0,2020-05-05,1,178.0,-1.0
3842,St. Lucie,45.0,1953,191.0,9.0,2191.0,html version of FL COVID Rep 04-17-2020(PM),2.0,2020-04-17,4,36.0,-1.0
2598,St. Lucie,34.0,1381,129.0,9.0,1544.0,html version of FL COVID Rep 04-08-2020(PM),0.0,2020-04-08,2,1.0,-1.0
8130,St. Johns,8.0,13676,287.0,2.0,13992.0,html version of FL COVID Rep 06-11-2020,21.0,2020-06-11,3,270.0,-1.0
5917,St. Johns,23.0,6061,222.0,4.0,6317.0,html version of FL COVID Rep 05-09-2020,11.0,2020-05-09,5,81.0,-1.0
5502,St. Johns,16.0,5189,211.0,4.0,5417.0,html version of FL COVID Rep 05-03-2020,1.0,2020-05-03,6,104.0,-1.0
5491,Seminole,3.0,7727,394.0,5.0,8127.0,html version of FL COVID Rep 05-03-2020,3.0,2020-05-03,6,371.0,-1.0
5215,Seminole,3.0,6270,373.0,6.0,6650.0,html version of FL COVID Rep 04-29-2020,4.0,2020-04-29,2,66.0,-1.0
8088,Taylor,0.0,1090,47.0,4.0,1138.0,html version of FL COVID Rep 06-10-2020,1.0,2020-06-10,2,4.0,-1.0
6002,Monroe,40.0,1543,88.0,5.0,1671.0,html version of FL COVID Rep 05-10-2020,0.0,2020-05-10,6,29.0,-1.0
